TCode,Name_E,Name_G,BID
0350,R.Udayagiri,R.Udayagiri,117
0378,Baudh Sadar ,Baudh Sadar ,150
0027,Mahulpalli P.S.,Mahulpalli P.S.,43
0100,Anandapur P.S.,Anandapur P.S.,222
0085,Champua P.S.,Champua P.S.,230
0269,Gania (0269),Gania (0269),477
0087,Baria P.S.,Baria P.S.,215
0187,Biridi P.S.(New)(0187),Biridi P.S.(New)(0187),234
0323,SURADA (0323),SURADA (0323),270
0409,Narala ,Narala ,242
0339,SERAGAD (0339),SERAGAD (0339),271
0329,KODALA (0329),KODALA (0329),283
0340,BRAHMAPUR SADAR (0340),BRAHMAPUR SADAR (0340),284
0332,CHHATRAPUR (0332),CHHATRAPUR (0332),285
0338,PATAPUR (0338),PATAPUR (0338),286
0322,GANGAPUR ,GANGAPUR ,237
0319,BUGUDA ,BUGUDA ,237
0031,Rengali P.S. (New)(0031),Rengali P.S. (New)(0031),458
0321,BHANJANAGAR ,BHANJANAGAR ,240
0302,Bhubaneswar (M.Corp.) P.S.,Bhubaneswar (M.Corp.) P.S.,59
0336,PURUSOTTAMPUR,PURUSOTTAMPUR,244
0340,BRAHMAPUR SADAR ,BRAHMAPUR SADAR ,244
0327,KABISURYANAGAR ,KABISURYANAGAR ,246
0297,Jankia ,Jankia ,60
0283,Khordha,Khordha,60
0331,RAMBHA ,RAMBHA ,263
0332,CHHATRAPUR ,CHHATRAPUR ,263
0318,TARASINGI,TARASINGI,268
0324,BADAGADA ,BADAGADA ,270
0322,GANGAPUR ,GANGAPUR ,270
0324,BADAGADA ,BADAGADA ,271
0325,ASIKA ,ASIKA ,271
0340,BRAHMAPUR SADAR ,BRAHMAPUR SADAR ,271
0337,HINJILI ,HINJILI ,271
0322,GANGAPUR ,GANGAPUR ,273
0069,Lathikata P.S.(0069),Lathikata P.S.(0069),203
0453,Bandhugaon (0453),Bandhugaon (0453),294
0065,Bondamunda P.S.,Bondamunda P.S.,209
0301,Banapur ,Banapur ,83
0299,Tangi ,Tangi ,83
0067,Raghunathapali P.S.,Raghunathapali P.S.,209
0079,Raurkela (ITS)P.S.,Raurkela (ITS)P.S.,209
0078,Raurkela (M) P.S.,Raurkela (M) P.S.,209
0075,Tikaetpali P.S.,Tikaetpali P.S.,211
0071,Kamarposh Balang P.S.,Kamarposh Balang P.S.,200
0077,Mahulapada P.S.,Mahulapada P.S.,202
0142,Rupsa P.S. (0142),Rupsa P.S. (0142),287
0062,Biramitrapur P.S.(0062),Biramitrapur P.S.(0062),208
0041,Dhama P.S.(0041),Dhama P.S.(0041),288
0061,Raiboga P.S.,Raiboga P.S.,208
0032,Sasan P.S.,Sasan P.S.,288
0052,Bhasma P.S.,Bhasma P.S.,206
0053,Dharuadihi P.S.(New),Dharuadihi P.S.(New),206
0319,BUGUDA ,BUGUDA ,273
0332,CHHATRAPUR ,CHHATRAPUR ,274
0292,Airfield (Kapila Prasad) ,Airfield (Kapila Prasad) ,289
0327,KABISURYANAGAR ,KABISURYANAGAR ,274
0337,HINJILI ,HINJILI ,274
0344,NUAGAON ,NUAGAON ,275
0285,Chandaka ,Chandaka ,289
0294,Khandagiri ,Khandagiri ,289
0291,Lingaraj ,Lingaraj ,289
0342,GOLANTHARA ,GOLANTHARA ,277
0288,Mancheswar ,Mancheswar ,289
0286,Nandankanan ,Nandankanan ,289
0287,Saheednagar ,Saheednagar ,289
0063,Hatibari P.S.(0063),Hatibari P.S.(0063),197
0295,Tamando ,Tamando ,289
0322,GANGAPUR ,GANGAPUR ,278
0324,BADAGADA ,BADAGADA ,278
0027,Mahulpalli P.S.(0027),Mahulpalli P.S.(0027),293
0450,Dasamantapur (0450),Dasamantapur (0450),295
0299,Tangi (0299),Tangi (0299),291
0297,Jankia ,Jankia ,291
0298,Nirakarpur ,Nirakarpur ,291
0343,DIGAPAHANDI ,DIGAPAHANDI ,284
0342,GOLANTHARA ,GOLANTHARA ,284
0334,CHAMAKHANDI ,CHAMAKHANDI ,285
0345,JARADA (0345),JARADA (0345),292
0068,Tangarapali P.S.(0068),Tangarapali P.S.(0068),207
0450,Dasamantapur (0450),Dasamantapur (0450),296
0451,Lakshmipur(0451),Lakshmipur(0451),297
0454,Kakiriguma ,Kakiriguma ,297
0452,Narayanpatana (0452),Narayanpatana (0452),298
0466,Pottangi (0466),Pottangi (0466),299
0455,Koraput (0455),Koraput (0455),300
0456,Koraput Town ,Koraput Town ,300
0051,Lephripara P.S.(0051),Lephripara P.S.(0051),204
0228,Badachana P.S. (P)(0228),Badachana P.S. (P)(0228),301
0358,Gochhapada ,Gochhapada ,343
0458,Kundura (0458),Kundura (0458),360
0228,Badachana P.S. (P)(0228),Badachana P.S. (P)(0228),360
0112,Badampahar P.S.(0112),Badampahar P.S.(0112),361
0458,Kundura (0458),Kundura (0458),362
0032,Sasan P.S.(0032),Sasan P.S.(0032),363
0041,Dhama P.S.(0041),Dhama P.S.(0041),456
0220,Jajapur Road P.S.(P) ,Jajapur Road P.S.(P) ,375
0219,Jakhapura P.S.(New),Jakhapura P.S.(New),375
0222,Panikoili P.S.(P) (New),Panikoili P.S.(P) (New),375
0437,Umarkote (0437),Umarkote (0437),395
0105,Bahalda P.S.(0105),Bahalda P.S.(0105),364
0126,Baisinga P.S.(0126),Baisinga P.S.(0126),365
0279,Sarankul (0279),Sarankul (0279),452
0478,Motu ,Motu ,25
0208,Cuttack Sadar (0208),Cuttack Sadar (0208),11
0148,Remuna P.S. (0148),Remuna P.S. (0148),61
0171,Aali (0171),Aali (0171),62
0176,Derabish (0176),Derabish (0176),63
0034,Burla P.S.(0034),Burla P.S.(0034),64
0035,Dhanupali P.S.(0035),Dhanupali P.S.(0035),65
0170,Jamboo Marine  (0170),Jamboo Marine  (0170),66
0033,Hirakud P.S.(0033),Hirakud P.S.(0033),67
0173,Kendrapara (Urban)(0173),Kendrapara (Urban)(0173),68
0174,Kendrapara Sadar  (0174),Kendrapara Sadar  (0174),69
0178,Marsaghai (0178),Marsaghai (0178),71
0175,Nikirai (0175),Nikirai (0175),72
0026,Govindpur P.S.(0026),Govindpur P.S.(0026),453
0172,Pattamundai (0172),Pattamundai (0172),74
0168,Rajkanika (0168),Rajkanika (0168),75
0169,Rajnagar(0169),Rajnagar(0169),76
0174,Kendrapara Sadar  ,Kendrapara Sadar  ,68
0173,Kendrapara (Urban),Kendrapara (Urban),69
0058,Baragaon P.S.(0058),Baragaon P.S.(0058),195
0074,Gurundia P.S.(0074),Gurundia P.S.(0074),196
0370,Belaghar ,Belaghar ,321
0050,Hemgir P.S.(0050),Hemgir P.S.(0050),198
0412,Sadar (0412),Sadar (0412),251
0072,Koida P.S.(0072),Koida P.S.(0072),200
0059,Kutra P.S.(0059),Kutra P.S.(0059),201
0073,Lahunipara P.S.(0073),Lahunipara P.S.(0073),202
0118,Baripada Sadar P.S.(0118),Baripada Sadar P.S.(0118),446
0256,Banarpal (0256),Banarpal (0256),146
0060,Rajagangapur P.S.(0060),Rajagangapur P.S.(0060),205
0055,Sundargarh  P.S.  (0055),Sundargarh  P.S.  (0055),206
0029,Katarbaga P.S.(0029),Katarbaga P.S.(0029),458
0030,Thelkoloi  P.S. (New)(0030),Thelkoloi  P.S. (New)(0030),458
0275,Nayagarh (0275),Nayagarh (0275),447
0272,Nuagaon (0272),Nuagaon (0272),448
0032,Sasan P.S.(0032),Sasan P.S.(0032),367
0153,Soro P.S.(0153),Soro P.S.(0153),54
0278,Odagaon (0278),Odagaon (0278),449
0259,Jarapada (0259),Jarapada (0259),137
0444,Nabarangapur,Nabarangapur,451
0249,Kaniha(0249),Kaniha(0249),466
0397,Kantabanji ,Kantabanji ,173
0126,Baisinga P.S.,Baisinga P.S.,408
0228,Badachana P.S. (P),Badachana P.S. (P),356
0119,Baripada Town P.S.,Baripada Town P.S.,370
0003,Padmapur(0003),Padmapur(0003),179
0043,Rairakhol P.S.,Rairakhol P.S.,454
0027,Mahulpalli P.S.,Mahulpalli P.S.,455
0042,Charamal P.S.(0042),Charamal P.S.(0042),454
0028,Kochinda P.S.(0028),Kochinda P.S.(0028),455
0414,Junagarh ,Junagarh ,238
0040,Jujomura P.S.(0040),Jujomura P.S.(0040),457
0032,Sasan P.S.(0032),Sasan P.S.(0032),478
0044,Naktideul P.S.(0044),Naktideul P.S.(0044),459
0038,Jamankira P.S.(0038),Jamankira P.S.(0038),461
0408,Madanpur Rampur ,Madanpur Rampur ,242
0412,Sadar ,Sadar ,242
0201,Tangi (0201),Tangi (0201),112
0032,Sasan P.S.(0032),Sasan P.S.(0032),458
0043,Rairakhol P.S.(0043),Rairakhol P.S.(0043),459
0435,Raighar (0435),Raighar (0435),465
0028,Kochinda P.S.,Kochinda P.S.,461
0037,Sadar P.S.,Sadar P.S.,457
0390,Balangir ,Balangir ,165
0444,Nabarangapur(0444),Nabarangapur(0444),462
0381,Dunguripali ,Dunguripali ,38
0435,Raighar (0435),Raighar (0435),463
0412,Sadar ,Sadar ,253
0413,Kegaon ,Kegaon ,253
0042,Charamal P.S.(0042),Charamal P.S.(0042),464
0043,Rairakhol P.S.,Rairakhol P.S.,464
0140,Singla P.S. ,Singla P.S. ,52
0284,Khurda Sadar ,Khurda Sadar ,60
0416,Dharamgarh ,Dharamgarh ,253
0416,Dharamgarh ,Dharamgarh ,255
0414,Junagarh ,Junagarh ,255
0415,Golamunda ,Golamunda ,255
0154,Similia P.S. ,Similia P.S. ,57
0246,Palalahada (0246),Palalahada (0246),162
0388,Tarbha ,Tarbha ,38
0175,Nikirai (0175),Nikirai (0175),466
0382,Rampur ,Rampur ,37
0387,Sonapur ,Sonapur ,36
0032,Sasan P.S.,Sasan P.S.,456
0104,Tiring P.S.,Tiring P.S.,364
0111,Rairangpur P.S.,Rairangpur P.S.,364
0108,Gorumahisani P.S.,Gorumahisani P.S.,364
0113,Jashipur P.S.,Jashipur P.S.,366
0110,Bisoi P.S.,Bisoi P.S.,366
0122,Chandua P.S.,Chandua P.S.,366
0120,Koliana P.S.,Koliana P.S.,366
0109,Jharpokharia P.S.,Jharpokharia P.S.,366
0129,Khunta P.S.,Khunta P.S.,374
0126,Baisinga P.S.,Baisinga P.S.,374
0118,Baripada Sadar P.S.,Baripada Sadar P.S.,374
0127,Betanati P.S.,Betanati P.S.,374
0134,Baripada (M) P.S.,Baripada (M) P.S.,370
0122,Chandua P.S.,Chandua P.S.,370
0333,GANJAM (0333),GANJAM (0333),235
0091,Kendujhar Town P.S.,Kendujhar Town P.S.,225
0088,Turumunga P.S.(0088),Turumunga P.S.(0088),236
0325,ASIKA (0325),ASIKA (0325),237
0416,Dharamgarh (0416),Dharamgarh (0416),238
0182,Kujang P.S.(0182),Kujang P.S.(0182),239
0320,JAGANNATH PRASAD (0320),JAGANNATH PRASAD (0320),240
0188,Naugaon P.S.(0188),Naugaon P.S.(0188),241
0407,Kesinga (0407),Kesinga (0407),242
0181,Paradeep Lock P.S. (New)(0181),Paradeep Lock P.S. (New)(0181),243
0337,HINJILI (0337),HINJILI (0337),244
0408,Madanpur Rampur (0408),Madanpur Rampur (0408),245
0328,POLASARA (0328),POLASARA (0328),246
0180,Paradip P.S. (0180),Paradip P.S. (0180),247
0185,Tirtol P.S. (0185),Tirtol P.S. (0185),250
0089,Patana P.S.,Patana P.S.,236
0337,HINJILI (0337),HINJILI (0337),260
0414,Junagarh (0414),Junagarh (0414),252
