SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10004824,Atal,Atal,0024,5,4558,44767
10004825,Fadich,Fadich,0024,5,4526,44737
10004826,Fanar,Fanar,0024,5,4526,44737
10004827,Chorri,Chorri,0024,5,4526,44737
10004592,Deyolikhal,Deyolikhal,0048,9,11845,
10004593,Bhaisoda,Bhaisoda,0031,6,6366,
10004594,Kaloni,Kaloni,0031,6,6366,
10004595,Jogimadhi,Jogimadhi,0031,6,6366,
10004596,Dabar,Dabar,0031,6,6366,
10004597,Deboli,Deboli,0031,6,6366,
10004598,Devlo,Devlo,0031,6,6366,
10004599,Satynagar Malla,Satynagar Malla,0031,6,6366,
10004600,Satynagar Talla,Satynagar Talla,0031,6,6366,
10004601,Gudelkheel,Gudelkheel,0031,6,6366,
10004602,KACHNAL GUSAI,HINDI,0069,12,15660,55671
10004603,Gudelkheel Talla,Gudelkheel Talla,0031,6,6366,
10004604,Durail Gaun,Durail Gaun,0031,6,10004587,
10004605,BagadJhalla,BagadJhalla,0031,6,6366,
10004606,BamanKhola,BamanKhola,0031,6,6366,
10004607,Nandakhet,Nandakhet,0031,6,6366,
10004608,Thanga Malla,Thanga Malla,0031,6,6366,
10004609,Thanga Talla,Thanga Talla,0031,6,6366,
10004610,Thanga Bichala,Thanga Bichala,0031,6,6366,
10004611,Kund,Kund,0031,6,6366,
10004612,Dhanadiyu,Dhanadiyu,0031,6,6366,
10004613,Haldodiyu,Haldodiyu,0031,6,6366,
10004614,Nadiya,Nadiya,0031,6,6366,
10004615,Chapkot,Chapkot,0031,6,6366,
10004616,Uarolo,Uarolo,0031,6,6366,
10004617,Bhatwaadu,Bhatwaadu,0031,6,6366,
10004618,Bhamrai,Bhamrai,0031,6,6366,
10004619,Dala Gaun,Dala Gaun,0031,6,6366,
10004620,Pakholi,Pakholi,0031,6,6366,
10004621,Katpaadi,Katpaadi,0031,6,6366,
10004622,Dhaundkiya,Dhaundkiya,0031,6,6366,
10004623,Patotiya,Patotiya,0031,6,6366,
10004624,Boongdhar,Boongdhar,0031,6,6366,
10004625,NOORPUR,HINDI,0069,12,15661,55672
10004626,Pisun,Pisun,0048,9,11584,
10004627,Tevakhark,Tevakhark,0012,2,1931,42039
10004628,Raikot,Raikot,0012,2,1922,42030
10004629,SHIVNAGAR,HINDI,0069,12,15637,55648
10004630,Naugaon,Naugaon,0012,2,1928,42036
10004631,mahadev nagar,HINDI,0069,12,15664,55675
10004632,mahadev nagar,HINDI,0069,12,15664,55675
10004633,mahadev nagar,HINDI,0069,12,15664,55675
10004634,BRAHAM NAGAR,HINDI,0069,12,15657,55668
10004635,Budli,Budli,0048,9,11706,
10004636,Sagneti,Sagneti,0048,9,11392,
10004637,Saitoli,Saitoli,0048,9,11392,
10004638,Dabruaa,Dabruaa,0048,9,10003941,
10004639,dabhora tanda,hindi,0069,12,15616,55628
10004640,KHARAKPUR DEVIPURA,HINDI,0069,12,15650,55661
10004641,adhagahri,hindi,0069,12,15668,55679
10004642,DHANDA KHERA,HINDI,0069,12,10004570,
10004643,Gehulaad,Gehulaad,0035,6,7933,48247
10004644,Khopragarhi,Khopragarhi,0035,6,7933,48247
10004645,Bhatkandai,Bhatkandai,0031,6,10004587,
10004646,jogi,hindi,0069,12,15661,55672
10004647,Par ka maghara,hindi,0069,12,15646,55657
10004648,PEGAA,HINDI,0069,12,10004625,
10004649,Bainoli,Bainoli,0011,2,1602,41709
10004650,Silkhola,Silkhola,0011,2,1650,41756
10004651,Sorigad,Sorigad,0011,2,1533,41641
10004652,Chanyali,Chanyali,0011,2,1533,41641
10004653,dang,dang,0020,4,10002851,
10004654,dubadi,dubadi,0020,4,3881,43723
10004655,HIMMATPUR,HINDI,0069,12,15638,55649
10004656,baijaro,baijaro,0031,6,6614,
10004657,kaul,hindi,0069,12,10004625,
10004658,ANARPA,HINDI,0069,12,15675,55686
10004659,PACHCHAVALA,HINDI,0069,12,10004631,
10004660,Ganja,hindi,0069,12,10004647,
10004661,chaube ka majhra,hindi,0069,12,15631,55642
10004662,jaspur khurd,hindi,0069,12,15627,55638
10004663,MAUWAKHERA,HINDI,0069,12,15661,55672
10004664,BENGALI COLONY,HINDI,0069,12,15616,55628
10004665,BHIMNAGAR,HINDI,0069,12,15664,55675
10004666,JUDKA,HINDI,0069,12,15675,55686
10004667,Airtha,Airtha,0011,2,1702,41806
10004668,Dharkunwar Pata,Dharkunwar Pata,0011,2,1702,41806
10004669,vedikhal,vedikhal,0031,6,10004587,
10004670,MAHEDA DEVI,hindi,0069,12,15627,55638
10004671,Maithana,Maithana,0009,2,1159,41265
10004672,SHANKARPURI,hindi,0069,12,15627,55638
10004673,JUDKA NO.1,HINDI,0069,12,15646,55657
10004674,JAGATPUR,HINDI,0069,12,10004570,
10004675,DURGA KALONI,HINDI,0069,12,15642,55653
10004676,SEMALPURI,,0069,12,15634,55645
10004677,chamiyalla,chamiyalla,0016,4,2766,42871
10004678,baheda,baheda,0016,4,2861,42961
10004679,baheda,baheda,0016,4,2861,42961
10004680,simdi,simdi,0032,6,6851,
10004681,BANSHKHERA PANDY,HINDI,0069,12,15652,55663
10004682,n.a,n.a,0016,4,2818,42919
10004683,CHETI GAON,HINDI,0069,12,15668,55679
10004684,Onal Gaon,Onal Gaon,0018,4,10004569,
10004685,Bhaintala,Bhaintala,0018,4,3398,43464
10004686,SHYAMPURAM,HINDI,0069,12,15668,55679
10004687,Pandaluin,,0029,6,300123,
10004688,Pandaluin,,0029,6,300123,
10004689,dhakholi,,0029,6,10003344,
10004828,Dangutha,Dangutha,0024,5,4526,44737
10004829,Daraghat,Daraghat,0024,5,4526,44737
10004455,CHAKARPUR,hindi,0075,12,10004254,
10004456,anjnia,hindi,0075,12,10004360,
10004457,MAHATGAUN,HINDI,0075,12,10004254,
10004458,sumita bhoopsingh,hindi,0070,12,15531,55717
10004459,That,That,0019,4,2960,43602
10004460,That,That,0019,4,2960,43602
10004461,Choundana,Choundana,0019,4,10004459,
10004462,Gonti,Gonti,0019,4,10004460,
10004463,Musankri,Musankri,0019,4,10004459,
10004464,KumarGaon,KumarGaon,0019,4,10004459,
10004465,Sarpool,Sarpool,0019,4,10004459,
10004466,Nanwa,Nanwa,0019,4,10004459,
10004467,Bhingwali,Bhingwali,0019,4,3609,43716
10004468,Bhatwara,Bhatwara,0019,4,3609,43716
10004469,Anjanisain,Anjanisain,0019,4,3609,43716
10004470,Bhangdwar,Bhangdwar,0019,4,10004181,
10004471,Sunaldi,Sunaldi,0019,4,3597,43704
10004472,Gahar,Gahar,0019,4,10004471,
10004473,Moltha,Moltha,0019,4,10004472,
10004474,Saumya,Sauyma,0019,4,10004472,
10004475,Lassi,Lassi,0019,4,10004472,
10004476,Sain,Sain,0019,4,10004472,
10004477,Churenda,Churenda,0019,4,10004476,
10004478,Devradi,Devradi,0019,4,3572,43679
10004479,Tondhar,Tondhar,0019,4,3576,43683
10004480,Mundoli,Mundoli,0019,4,3594,43614
10004481,Gawali Gaon,Gawali Gaon,0019,4,3541,43649
10004482,RagdaPipola,RagdaPipola,0019,4,3568,43675
10004483,JULAHAN,HINDI,0070,12,15578,55763
10004484,NASIM JAHAAN,HINDI,0070,12,15591,55776
10004485,Dadimdali,Dadimdali,0012,2,1843,41951
10004486,Bokhnara,Bokhnara,0012,2,1843,41951
10004487,Gogna,Gogna,0012,2,1908,42016
10004488,masjit,HINDI,0070,12,15545,55730
10004489,ramnagar one,hindi,0070,12,15533,55719
10004490,JASPUR,HINDI,0070,12,15582,55767
10004491,LALPUR,HINDI,0070,12,15550,55735
10004492,Nai basti,HINDI,0070,12,10004490,
10004493,haldua,hindi,0070,12,300385,55798
10004494,gaunda khera,hindi,0070,12,15533,55719
10004495,haripura,hindi,0070,12,10004489,
10004496,BAILJUDI,HINDI,0070,12,15572,
10004497,MANDUVAKHERA,HINDI,0070,12,15573,
10004498,MANDUVAKHARA,HINDI,0070,12,15573,
10004499,MANDUVAKHERA,HINDI,0070,12,15609,55793
10004500,MANDUAKHERA,HINDI,0070,12,15532,55718
10004501,kunda gaun,HINDI,0070,12,15573,
10004502,MAHUADABARA,HINDI,0070,12,15532,55718
10004503,kilavali,hindi,0070,12,10004490,
10004504,kasampur,hindi,0070,12,15564,55789
