SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000944,Lodhipur Chapka,Lodhipur Chapka,0317,76,0,
10000945,Ladpura,Ladpura,0317,76,0,
10000946,Pavti,Pavti,0317,76,0,
10000947,Janupura,Janupura,0317,76,0,
10000948,Khilwai,Khilwai,0317,76,0,
10000949,Inayatpur,Inayatpur,0317,76,0,
10000950,Dotai,Dotai,0317,76,0,
10000951,Popai,Popai,0317,76,0,
10000952,Hassupura,Hassupura,0317,76,0,
10000953,Athsaini,Athsaini,0317,76,0,
10000954,Badarkha,Badarkha,0317,76,0,
10000955,Bihuni,Bihuni,0317,76,0,
10000956,Lohari,Lohari,0317,76,0,
10000957,Karimpur,Karimpur,0317,76,0,
10000958,Dehrarampur,Dehrarampur,0317,76,0,
10000959,Dholpur,Dholpur,0317,76,0,
10000960,Salarpur,Salarpur,0317,76,0,
10000961,Bhaina,Bhaina,0317,76,0,
10000962,Sadarpur,Sadarpur,0317,76,0,
10000963,Nanai,Nanai,0317,76,0,
10000964,Sehal,Sehal,0317,76,0,
10000965,Bahadurgarh,Bahadurgarh,0317,76,0,
10000966,Bhadsiyana,Bhadsiyana,0317,76,0,
10000967,Lehedra,Lehedra,0317,76,0,
10000968,Sherpur,Sherpur,0317,76,0,
10000969,Alamnagar,Alamnagar,0317,76,0,
10000970,Brijgath,Brijgath,0317,76,0,
10000971,Alamgirpur,Atsu,0317,76,41387,148499
10000972,Allabakshpur,Allabakshpur,0317,76,0,
10000973,Palwada,Palwada,0317,76,0,
10000974,Paswada,Paswada,0317,76,0,
10000975,Mohammadpur,Mohammadpur,0317,76,0,
10000976,Nanpur,Nanpur,0317,76,0,
10000977,Baxar,Baxar,0317,76,0,
10000978,Wait,Wait,0317,76,0,
10000979,Faridpur Simbhaoli,Faridpur Simbhaoli,0317,76,0,
10000980,Bhovapur Mastan Nagar,Bhovapur Mastan Nagar,0317,76,0,
10000981,Saroor Pur,Saroor Pur,0317,76,0,
10000982,Sikheda,Sikheda,0317,76,0,
10000983,Raj Pur,Raj Pur,0317,76,0,
10000984,Himmatpur,Himmatpur,0317,76,0,
10000985,Harora,Harora,0317,76,0,
10000986,Bharna,Bharna,0317,76,0,
10000987,Dariyapur,Dariyapur,0317,76,0,
10000988,Saina,Saina,0317,76,0,
10000989,Kurana,Kurana,0317,76,0,
10000990,MURADPUR,MURADPUR,0317,76,61691,0
10000991,Jakheda,Jakheda,0317,76,0,
10000992,Rajapur,Rajapur,0317,76,0,
10000993,Saloni,Saloni,0317,76,0,
10000994,Rajheti,Rajheti,0317,76,0,
10000995,Kheda,Kheda,0317,76,0,
10000996,Gendu Nangala,Gendu Nangala,0317,76,0,
10000997,Jamal Pur,Jamal Pur,0317,76,0,
10000998,Dattiyana,Dattiyana,0317,76,0,
10000999,Madhapur,Madhapur,0317,76,0,
10001000,Farid Pur Gosai,Farid Pur Gosai,0317,76,0,
10001001,Tigri,Tigri,0317,76,0,
10001002,Mubarak Pur,Mubarak Pur,0317,76,0,
10001003,Mohammad Pur,Mohammad Pur,0317,76,0,
10001004,Matnora,Matnora,0317,76,0,
10001005,Vigas,Vigas,0317,76,0,
10001006,Kaniya,Kaniya,0317,76,0,
10001007,Attuta,Attuta,0317,76,0,
10001008,Shampur,Shampur,0317,76,0,
10001009,Sharikpur,Sharikpur,0317,76,0,
10001010,BHAGWANPUR,BHAGWANPUR,0317,76,61493,0
10001011,Buklana,Buklana,0317,76,0,
10001012,Fuldhera,Fuldhera,0317,76,0,
10001013,Navada,Navada,0317,76,0,
10001014,Mudafara,Mudafara,0317,76,0,
10001015,Kota,Kota,0317,76,0,
10001016,Bhadli,Bhadli,0317,76,0,
10001017,Arikpur,Arikpur,0317,76,0,
10001018,Gohra,Gohra,0317,76,0,
10001019,Aurangabad,Aurangabad,0317,76,0,
10001020,Basatpur,Basatpur,0318,76,0,
